year,month,tmean
1904,Apr,2.960378408432007
1904,May,1.596001386642456
1904,Jun,-0.5531938076019287
1904,Jul,-0.1676473617553711
1904,Aug,-0.6503344774246216
1904,Sep,-2.395589828491211
1904,Oct,1.3408781290054321
1904,Nov,-3.184285879135132
1904,Dec,1.7990164756774902
1905,Jan,4.915586948394775
1905,Feb,3.687865972518921
1905,Mar,2.2257587909698486
1905,Apr,2.1896610260009766
1905,May,1.1146472692489624
1905,Jun,0.5375195145606995
1905,Jul,-1.1433279514312744
1905,Aug,-0.7110703587532043
1905,Sep,-3.8817293643951416
1905,Oct,-1.3783928155899048
1905,Nov,4.295588970184326
1905,Dec,-1.7311190366744995
1906,Jan,-6.789795875549316
1906,Feb,2.0935423374176025
1906,Mar,6.236446857452393
1906,Apr,-0.25676965713500977
1906,May,1.6008127927780151
1906,Jun,1.4701557159423828
1906,Jul,-0.0879177376627922
1906,Aug,-0.3200480341911316
1906,Sep,-0.09406312555074692
1906,Oct,3.0847527980804443
1906,Nov,-1.3117417097091675
1906,Dec,-4.137059688568115
1907,Jan,4.160573482513428
1907,Feb,-6.429647922515869
1907,Mar,-1.5732479095458984
1907,Apr,0.415892094373703
1907,May,1.2594009637832642
1907,Jun,-0.339553564786911
1907,Jul,-0.8463451862335205
1907,Aug,0.20125064253807068
1907,Sep,-0.7010082602500916
1907,Oct,-1.3919445276260376
1907,Nov,-3.3501596450805664
1907,Dec,1.6538866758346558
1908,Jan,-0.8949820399284363
1908,Feb,5.296957015991211
1908,Mar,-1.9704171419143677
1908,Apr,-0.8020371198654175
1908,May,1.8839126825332642
1908,Jun,1.7702327966690063
1908,Jul,0.246153324842453
1908,Aug,-0.022445855662226677
1908,Sep,-2.482879161834717
1908,Oct,-1.4373234510421753
1908,Nov,-1.3199067115783691
1908,Dec,2.994244337081909
1909,Jan,-7.899350166320801
1909,Feb,-5.739068508148193
1909,Mar,0.5058259963989258
1909,Apr,-2.9689297676086426
1909,May,-0.2089335024356842
1909,Jun,1.2574689388275146
1909,Jul,0.9376952648162842
1909,Aug,-1.4280304908752441
1909,Sep,-2.603550910949707
1909,Oct,-2.053258180618286
1909,Nov,-4.718347072601318
1909,Dec,1.6318620443344116
1910,Jan,-1.3730946779251099
1910,Feb,-4.502667427062988
1910,Mar,-0.8624498248100281
1910,Apr,-1.9319669008255005
1910,May,-0.2979641854763031
1910,Jun,0.7577203512191772
1910,Jul,0.4887552559375763
1910,Aug,-0.89686119556427
1910,Sep,0.31833407282829285
1910,Oct,-0.29148992896080017
1910,Nov,1.1488945484161377
1910,Dec,-0.953647255897522
1911,Jan,-5.849175453186035
1911,Feb,5.575515270233154
1911,Mar,-0.995154619216919
1911,Apr,-1.6368769407272339
1911,May,1.3180558681488037
1911,Jun,1.7229235172271729
1911,Jul,1.618802785873413
1911,Aug,-0.34572187066078186
1911,Sep,0.23313461244106293
1911,Oct,5.1646318435668945
